plot_number,rep,treatment_name.x,co2_flux_g_ha_day
102,1,cra+cont,81690.36179108218
103,1,al+U,49732.12263115796
104,1,al+cont,57229.16037107909
105,1,be+D,315006.5679684856
106,1,un+cont,8421.924629073736
109,1,cra+D,48026.024415454754
111,1,cra+U,86855.75627040642
112,1,be+U,100425.05586102873
201,2,un+U,21962.901291611972
202,2,al+cont,111791.82716824308
204,2,be+U,83098.71863172541
205,2,be+D,75176.6000412099
206,2,cra+U,49409.048784810664
211,2,al+D,281222.87460195733
301,3,be+U,62218.03949199881
303,3,al+cont,42347.27035389845
304,3,cra+U,42589.896470345615
305,3,un+D,203003.42799390436
308,3,cra+D,166780.2454236317
311,3,be+cont,63677.861401453214
403,4,be+D,299949.88759493927
404,4,al+U,42597.93294088972
405,4,cra+U,40191.49144411445
407,4,be+cont,76680.50783660582
410,4,un+D,143926.8077585681
411,4,al+cont,40293.99934647136
501,5,cra+U,68944.23542859887
502,5,al+cont,58048.718650525865
503,5,cra+cont,63082.04116513195
505,5,un+U,9545.130565131534
506,5,be+D,355287.52250625304
507,5,un+cont,13342.380185234133
509,5,un+D,156666.42721563115
510,5,al+D,169956.60512805864
511,5,al+U,51158.03546266834
512,5,be+cont,95329.569217967
